,0,1,2,3,4,5,6,7,8,9
0,Hospital San Juan de Dios,OPERATIONAL,"Troncal Carrera 10 #1 - 59 Sur, Antonio Nariño, Bogotá, Colombia",ChIJiUDp7wKZP44R96KuALqQ0Kg,4.5890537,-74.08655499999999,3.9,"['hospital', 'health', 'point_of_interest', 'establishment']",24,hospital
1,Hospital de la Policia - Bogotá,OPERATIONAL,"Cra. 59 ##26-21, Bogotá, Colombia",ChIJuc21gb-bP44RrXu-j79yass,4.6472533,-74.0974426,3.8,"['hospital', 'health', 'point_of_interest', 'establishment']",165,hospital
2,Hospital Universitario San Ignacio,OPERATIONAL,"# 40-62 consultorio 704 Hospital Universitario San Ignacio, Cra. 7, Bogotá, Colombia",ChIJdSQd1CeaP44RGBLLwvagXxU,4.628566600000001,-74.0650036,3.7,"['hospital', 'health', 'point_of_interest', 'establishment']",326,hospital
3,Hospital Universitario Nacional de Colombia,OPERATIONAL,"Cl. 44 #59-75, Teusaquillo, Bogotá, Colombia",ChIJuc4bO7-bP44Rj7E1l2_Sy4E,4.648615899999999,-74.0958465,3.9,"['hospital', 'health', 'point_of_interest', 'establishment']",306,hospital
4,Hospital de la Samaritana,OPERATIONAL,"Cra. 8 ##0-29波哥大 Bogotá, Cundinamarca, Colombia",ChIJJwplDAKZP44RAO7G1q2hb7M,4.587446700000001,-74.08371389999999,4.2,"['hospital', 'health', 'point_of_interest', 'establishment']",149,hospital
5,Hospital Santa Clara,OPERATIONAL,"Cra. 14b #1-45 sur, Antonio Nariño, Bogotá, Colombia",ChIJ2TdwZhyZP44RQzZKki2Xomw,4.5914778,-74.0923251,3.3,"['hospital', 'health', 'point_of_interest', 'establishment']",138,hospital
6,Hospital Engativá,OPERATIONAL,"Tv. 100a #80a-50, Bogotá, Colombia",ChIJP9dIK8uEP44RqeC-qSUuMHY,4.710947900000001,-74.10972869999999,2.8,"['hospital', 'health', 'point_of_interest', 'establishment']",128,hospital
7,Fundacion Santa Fe De Bogota Hospital Universitario,OPERATIONAL,"Cra. 7b #12390, Bogotá, Colombia",ChIJycke7qmaP44R2LjxiYXGFQ0,4.7000131,-74.0310452,3.6,"['hospital', 'health', 'point_of_interest', 'establishment']",115,hospital
8,Clínica Palermo,OPERATIONAL,"Cl. 45c ##22-02, Bogotá, Colombia",ChIJkZGm4SyaP44RiVTFRqpaZ3w,4.6359046,-74.0737742,2.8,"['hospital', 'health', 'point_of_interest', 'establishment']",9,hospital
9,Hospital de Usaquén,OPERATIONAL,"Cra. 6a #117 B-14, Usaquén, Bogotá, Colombia",ChIJDfu7GqiaP44RfpQyUUfZRPc,4.6963553,-74.0306205,2.7,"['hospital', 'health', 'point_of_interest', 'establishment']",22,hospital
10,Sociedad de Cirugía de Bogotá - Hospital de San José,OPERATIONAL,"Cl. 10 ##18-75, Bogotá, Colombia",ChIJR4cl5A2ZP44RUNfolbSMNFM,4.603005500000001,-74.087226,3.5,"['hospital', 'health', 'point_of_interest', 'establishment']",317,hospital
11,Hospital Simon Bolivar,OPERATIONAL,"Cl. 165 #7-06, Bogotá, Colombia",ChIJ7-QQaOePP44R_ueHl2uiBBo,4.742681999999999,-74.02282310000001,3.1,"['hospital', 'health', 'point_of_interest', 'establishment']",97,hospital
12,Hospital Meissen,OPERATIONAL,"Dg. 69r Sur #18n6, Bogotá, Colombia",ChIJaSzfI0WfP44RbHxrTY08mmY,4.5595,-74.1383,2.9,"['hospital', 'health', 'point_of_interest', 'establishment']",94,hospital
13,Clínica Miocardio,OPERATIONAL,"Cra. 45a #94-71, Bogotá, Colombia",ChIJOV-E2uuaP44R9-t9z_fyu5o,4.683053,-74.05897089999999,3.0,"['hospital', 'health', 'point_of_interest', 'establishment']",20,hospital
14,Clinica La Inmaculada,OPERATIONAL,"Cra. 7 ##68-70, Bogotá, Colombia",ChIJwzmkZkGaP44RwKw8jmwFJ10,4.6515555,-74.0569648,4.1,"['hospital', 'health', 'point_of_interest', 'establishment']",50,hospital
